  0.50632354351616027                   (-43.147964742079402,28.633362881690331)              (-40.742178800637305,8.6705223962701350)             (-11.296753156956783,-19.308893581260214)             (-46.994384910947034,-42.089248427688496)        (-47.330237997997457,2.41195952099815258E-014)              (-46.994384910947019,42.089248427688538)              (-11.296753156956756,19.308893581260200)             (-40.742178800637319,-8.6705223962701350)             (-43.147964742079438,-28.633362881690378)        (3011.8332799576242,-8.89739670828504359E-015)
  0.50642366299760222                   (-13.145769010170712,3.8204111312668338)               (64.309533875340136,28.541807346823415)              (2.8785940107435142,-40.768444964864727)              (-68.305291925710193,2.6751353184582829)         (5.9683223096389133,3.99680288865056355E-014)             (-68.305291925710293,-2.6751353184583015)               (2.8785940107435177,40.768444964864742)              (64.309533875339966,-28.541807346823326)             (-13.145769010170739,-3.8204111312668227)        (2775.1780331957334,-3.68653133193952431E-014)
  0.50296477711618648                    (45.626111186262797,14.742867542471330)              (28.172780930218060,-23.638897583860278)              (-50.190717718398048,43.326723946551439)              (26.415978534831829,-45.327469958863801)        (13.858658887897075,-4.22994972382184642E-014)               (26.415978534831872,45.327469958863794)             (-50.190717718398098,-43.326723946551482)               (28.172780930218092,23.638897583860228)              (45.626111186262754,-14.742867542471366)        (2929.2135640295041,-8.18789480661052949E-015)
  0.50536109867491530                  (-10.660430475648356,-85.626960041567969)             (-65.376125765624181,-2.2579829304457535)               (13.208708691108331,8.8132275850971133)             (-13.777506722775264,-30.410260679788930)        (47.200437276655123,-1.11022302462515654E-016)              (-13.777506722775289,30.410260679789026)              (13.208708691108313,-8.8132275850970689)              (-65.376125765624295,2.2579829304457499)              (-10.660430475648333,85.626960041567997)        (3010.7679153678023,-2.79212891414297448E-014)
  0.50435990866011937                  (-33.411807619573828,-13.912157513985690)             (-41.125540811202967,-5.6345766682046028)             (-42.425844529798454,-9.7488881487774464)             (-33.395210717497186,-19.135896162104107)         (119.34211540773194,5.01820807130570756E-014)              (-33.395210717497115,19.135896162104128)              (-42.425844529798447,9.7488881487773931)              (-41.125540811202882,5.6345766682046481)              (-33.411807619573864,13.912157513985758)         (3002.4193977311597,4.93103550613244179E-014)
  0.50443966040384380                   (15.848398425425538,-45.426586282836581)              (-29.241411844640382,44.883429404779235)               (5.4154801869657643,7.4305540088770945)              (7.7974140180104587,-17.872930296349043)        (16.761599824643238,-2.79411910275584319E-014)               (7.7974140180104428,17.872930296349093)              (5.4154801869657678,-7.4305540088771336)             (-29.241411844640382,-44.883429404779186)               (15.848398425425552,45.426586282836588)         (2912.3071148779200,1.07434652062772702E-014)
  0.50477022448678255                  (-22.582180850031374,-41.340385036840296)              (7.4711127806522466,-1.5302877414524545)              (-27.589212361365867,24.280644129570717)               (7.7589027814229716,44.696206248640806)         (54.520787771817837,2.28705943072782247E-014)              (7.7589027814229361,-44.696206248640834)             (-27.589212361365899,-24.280644129570717)               (7.4711127806523123,1.5302877414524683)              (-22.582180850031371,41.340385036840296)        (3175.3188228983267,-2.11999471796953110E-014)
  0.50574826555010766                   (-42.995187984578770,31.672553309493974)              (-57.330737351092353,78.911844985136625)               (109.67708371424634,71.893660430121770)              (41.395173901336172,-72.606081679204934)        (72.186560718703831,-1.99285032920215599E-014)               (41.395173901336129,72.606081679205118)              (109.67708371424615,-71.893660430121841)             (-57.330737351092367,-78.911844985136639)             (-42.995187984578820,-31.672553309493903)         (2950.2782877649529,3.27972851242759600E-015)
  0.50744316412228085                    (9.7547685727981825,15.481248071154427)               (13.653868511075249,27.872265811184036)              (39.020457427806768,-40.057022835669898)             (-22.408619827036912,-13.974399316764730)        (-26.870029007287020,2.30926389122032560E-014)              (-22.408619827036901,13.974399316764774)               (39.020457427806804,40.057022835669876)              (13.653868511075192,-27.872265811184061)              (9.7547685727981666,-15.481248071154623)         (2959.0594886897620,3.35762505038889048E-015)
  0.50577184461588665                   (31.736108910153618,-17.311658312483964)              (-15.086980553745647,50.777696860971304)             (-32.982939595434907,-2.7395339999000545)              (14.961444995632299,-21.143827785833022)       (-10.663544511332569,-1.99840144432528177E-015)               (14.961444995632339,21.143827785833082)              (-32.982939595434971,2.7395339999000092)             (-15.086980553745613,-50.777696860971282)               (31.736108910153533,17.311658312484035)        (3027.4052061931038,-2.59439686530957281E-014)
